variable,VIF
const,43.03241972643532
NO_AC_PE_centered,9.564179526040318
hot_days_90f_centered,4.018608789137329
heat90_ac_interaction,8.050787276901067
poverty_percent,2.718473001040961
age65_percent,1.3808095958998816
renter_percent,2.151758205830577
no_vehicle_percent,1.8047024012178352
OBESITY_CrudePrev,3.1012721201476747
LPA_CrudePrev,6.017976774004821
ACCESS2_CrudePrev,3.473344606066187
